               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09108,            0.056039,            0.022344,             0.17466,             0.36872,             0.18167,            0.064828,            0.078682,            0.040763,            0.015299,            0.070291,            0.003301,            0.003301
                   1,            0.069767,             0.04556,            0.013404,             0.24484,             0.39223,              0.3132,             0.11391,            0.060754,            0.037988,            0.012404,            0.040269,           0.0066124,           0.0066124
                   2,             0.06384,            0.043245,            0.011875,             0.78952,             0.42899,             0.46632,             0.19726,            0.056492,            0.037852,             0.01125,            0.010225,           0.0099019,           0.0099019
                   3,            0.055411,             0.04077,            0.010735,               0.461,             0.58928,              0.5105,             0.24109,            0.048486,            0.035186,            0.010675,            0.009901,            0.009901,            0.009901
                   4,            0.049994,            0.039825,           0.0091219,              0.6982,             0.62276,             0.65296,             0.35205,            0.040197,            0.033701,            0.008864,            0.009901,            0.009901,            0.009901
                   5,            0.047019,            0.037866,           0.0080728,             0.70151,             0.60596,             0.62475,             0.30949,            0.043782,            0.034173,           0.0075176,            0.009868,            0.009868,            0.009868
                   6,            0.045905,            0.038666,           0.0070698,             0.74294,             0.64105,             0.68793,             0.37723,            0.038945,            0.033637,            0.006932,            0.009835,            0.009835,            0.009835
                   7,            0.044205,            0.036713,           0.0064334,             0.73475,             0.66242,             0.68815,             0.37699,            0.039151,            0.033083,           0.0067341,            0.009802,            0.009802,            0.009802
                   8,            0.043034,            0.036794,            0.006213,             0.78159,             0.65484,             0.71006,             0.39222,            0.038359,            0.032993,           0.0063744,            0.009769,            0.009769,            0.009769
                   9,             0.04208,            0.036522,           0.0060292,             0.78197,             0.66915,             0.72497,             0.39826,            0.037744,            0.033599,           0.0061646,            0.009736,            0.009736,            0.009736
                  10,            0.041062,            0.035863,           0.0056167,             0.78829,             0.65505,             0.71435,             0.39177,            0.037526,            0.033011,           0.0060964,            0.009703,            0.009703,            0.009703
